time in hr:min:sec (displays in total sec)	time in hr:min:sec (displays in total sec)	annotation	layer 
0	8	From communications center, the University of Texas at Austin. This is the Mexican American experience.	Show Opening
15	70	These weekly programs focus on chicano history and culture and issues concerning contemporary mexican american society. With this week's program, here's your host Linda Fragoso. Chicano literature is a product of Chicanos. Some trace its historic roots to the blend of indian and Spanish heritage in the 15th century. Others say it goes back to the war between Mexico and the United States in the 1800s and many agreeing the Chicano literature first emerged full scale with the Civil Rights movement of the 1960s. Like all literature, there's trends within Chicano literature trends which reflect the economic, social and political situation of the times. Juan Rodriguez, a lecturer in English in the Center for Mexican American Studies in the University of Texas, teaches ethno literature and he's from the old guard of Chicano studies, he's the editor of Carta Abierta and publishes in Chicano literature. He'll discuss with us the development of Chicano literature. 	Linda Fragoso
70	123	Well, as you've stated quite appropriately at the beginning, Chicano literature is tied to the people, the Chicano people and as such, then it takes on these characteristics of of what what might one might call the majority of Chicano. And so that the literature in a way reflects, for example, a working class uh status for most of the Chicano, it generally uh pertains it's images, it's points of references are those points that poor people in this country in general can recognize with the addition of a particular, what I call a specificity of cultural reference that comes from the chicano themselves. These are some of the things that are specific to the literature at any point in its development.	Juan Rodriguez
123	128	But you have the individual point of reference. How can that transcend to all the people?	Linda Fragoso
129	148	Well, uh I believe that the sensitive writer and uh fortunately we have many of those are able to capture uh at the same time, not only their individual perspective, but also this group perspective. This uh cultural perspective that we talk about.	Juan Rodriguez
149	158	What are the different types of chicano literature, for example, the chicano literature in the past versus the chicano literature today. Contemporary literature?	Linda Fragoso
159	242	Well, perhaps I could best answer that by very briefly summarizing its history, Chicano literature as all literature springs from from the folk traditions. It begins as an oral tradition. Uh And from that, it passes through in in the late 19th century, and certainly in the early 20th century, it passes into a written tradition, picking up principally a theme that is to characterize it until the modern time. That is the theme of cultural resistance to the anglo presence in the lands that formerly belonged to Mexico. The it has taken several forms in the beginning since it was tied to the oral tradition. This literary expression was principally identified as a sort of musical expression. One can think of the Corridos, the ballads that were sung, but in another form they became, they became the folktales, the folk tales, the legends. Uh, sometimes even the jokes of the, of the masses came to be as as we recognize now the literary expression. These were later incorporated into the written tradition and then modified according to the demands of that tradition.	Juan Rodriguez
243	244	Why was the expression oral?	Linda Fragoso
245	292	Well, of course, most of our ancestors did not have the access to education. Uh, but also because they're just the general development of technology. When we talk about Third world countries and certainly Mexico is included amongst those. Uh, we, we generally talk about the sort of slower advanced technological advance and so therefore we really don't come into a written tradition fully until after the Second World War. So that at that time there is a clear written tradition in our literature. And one can also then identify the continuing oral tradition to our modern time.	Juan Rodriguez
293	304	Now, within the contemporary uh expression or development of Chicano literature, there's different types of novels, different types of genre. Could you elaborate on that?	Linda Fragoso
